Model,Img. size,Batch,Train samples,Val samples,Avg epoch sec.,Total hours,Best val loss,Best val loss epoch,Best val rmse,Best val rmse epoch,Best val si_rmse,Best val si_rmse epoch,Best val abs_rel,Best val abs_rel epoch,Final train loss,Final val loss,Final loss gap,Initial LR,Final LR
SmallUNet,128,8,3000,500,50.53019593477249,1.4036165537436802,0.9085093358206372,90,0.127693602726573,69,0.915307002408164,81,4.003420137223744,52,0.6217569009462992,0.9595470419005742,0.33779014095427495,0.001,0.001
MediumUNet,256,4,19600,3000,188.26938767671584,5.229705213242107,0.3851565828025341,66,0.0589320568585147,59,0.5908908996582031,66,3.600043164332708,36,0.3355337290207342,0.3854063567916552,0.049872627770920996,0.001,1.52587890625e-08
DepthModelWithCues,320,12,19600,3000,242.32484011888505,6.731245558857918,0.3007677744626998,99,0.0553679254818707,90,0.5363508151769638,99,3.287548113822937,17,0.2524083628520971,0.3037686120867729,0.0513602492346758,0.0009997737198476,0.0009999292647331
