epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr_before_scheduler,lr_after_scheduler,epoch_elapsed_sec,checkpoint_path,phase,loss,silog_loss,l1_loss,gradient_loss,abs_rel,rmse,si_rmse,avg_grad_norm,valid_pixel_fraction,n_batches,n_samples,skipped_batches,elapsed_sec,samples_per_sec
6,5,2026-05-06 15:52:57,320,12,19600,3000,19600,3000,cuda,0.0009998414975931826,0.000999851762193822,242.32048058509827,/content/model_checkpoint.pt,train,0.6808327483321053,0.6691443012842642,0.057773299008548586,0.060449043853662114,4.546397351503664,0.11146214686794664,0.7990175359215556,1.9285872708664091,0.5361123963647959,1634,19600,0,215.80951166152954,90.82083476811796
6,5,2026-05-06 15:52:57,320,12,19600,3000,19600,3000,cuda,0.0009998414975931826,0.000999851762193822,242.32048058509827,/content/model_checkpoint.pt,val,0.6406292824745178,0.6300904253721237,0.05102316536009312,0.057707591768354174,4.248258312702179,0.09853369546681642,0.7790276170969009,nan,0.5351132389322917,250,3000,0,26.50921106338501,113.16821133706438
7,6,2026-05-06 15:57:00,320,12,19600,3000,19600,3000,cuda,0.000999851762193822,0.0009998544163659885,242.4808211326599,/content/model_checkpoint.pt,train,0.6430346299614871,0.6317361236950029,0.05528782443126328,0.06010665634368869,4.439593818079739,0.1075095558149177,0.7777406761156009,1.8166284973538198,0.5361123963647959,1634,19600,0,215.8646833896637,90.79762234482546
7,6,2026-05-06 15:57:00,320,12,19600,3000,19600,3000,cuda,0.000999851762193822,0.0009998544163659885,242.4808211326599,/content/model_checkpoint.pt,val,0.6392682045698166,0.627593959927559,0.05889438072964549,0.05680172017216682,3.6172665424346926,0.11695369216799736,0.7720215945243836,nan,0.5351132389322917,250,3000,0,26.614564895629883,112.72023464462501
8,7,2026-05-06 16:01:02,320,12,19600,3000,19600,3000,cuda,0.0009998544163659885,0.000999856472583847,242.17028999328613,/content/model_checkpoint.pt,train,0.6196839578148785,0.6086171990308359,0.053818084297284505,0.05988089201631049,4.439121910889554,0.1047426741137061,0.7628714163745486,1.7053299944943576,0.5361123963647959,1634,19600,0,215.50200271606445,90.95043086826465
8,7,2026-05-06 16:01:02,320,12,19600,3000,19600,3000,cuda,0.0009998544163659885,0.000999856472583847,242.17028999328613,/content/model_checkpoint.pt,val,0.6272685121893883,0.6166479464769363,0.0503195838034153,0.06145258416607976,5.928953366279602,0.09461667282879352,0.7665499387979507,nan,0.5351132389322917,250,3000,0,26.666592121124268,112.50031448988614
9,8,2026-05-06 16:05:05,320,12,19600,3000,19600,3000,cuda,0.000999856472583847,0.0009998605401612022,242.4477469921112,/content/model_checkpoint.pt,train,0.5854901792789322,0.5747785115730806,0.051519383703138466,0.05967520071806858,4.339200976720784,0.10062870014552369,0.7419892994360942,1.5874995976285222,0.5361123963647959,1634,19600,0,215.79887700080872,90.82531045760052
9,8,2026-05-06 16:05:05,320,12,19600,3000,19600,3000,cuda,0.000999856472583847,0.0009998605401612022,242.4477469921112,/content/model_checkpoint.pt,val,0.6333069696426391,0.6218635196685791,0.05591832365840674,0.06111401823908091,7.197363096237183,0.09571234200149775,0.7556093130111694,nan,0.5351132389322917,250,3000,0,26.64710545539856,112.58258443947487
10,9,2026-05-06 16:09:08,320,12,19600,3000,19600,3000,cuda,0.0009998605401612022,0.0009998723163355701,242.44299626350403,/content/model_checkpoint.pt,train,0.5657920693862395,0.555228749561412,0.050589082168695614,0.05949913036771292,4.314991887371572,0.0993920293604702,0.7288898108492866,1.5489056549938978,0.5361123963647959,1634,19600,0,215.68312621116638,90.8740537301488
10,9,2026-05-06 16:09:08,320,12,19600,3000,19600,3000,cuda,0.0009998605401612022,0.0009998723163355701,242.44299626350403,/content/model_checkpoint.pt,val,0.551517794072628,0.5419209370017052,0.04492595664784312,0.057159298159182075,4.6829665822982784,0.08842044057697057,0.7230020531415939,nan,0.5351132389322917,250,3000,0,26.75827717781067,112.11484132796686
11,10,2026-05-06 16:13:11,320,12,19600,3000,19600,3000,cuda,0.0009998723163355701,0.0009998670552442566,242.23400950431824,/content/model_checkpoint.pt,train,0.547412644957752,0.5370605690552963,0.049193030268277614,0.0594624332477187,4.235866473237625,0.09666462105469757,0.7179397550323747,1.5133046682381426,0.5361123963647959,1634,19600,0,215.67926478385925,90.87568069949579
11,10,2026-05-06 16:13:11,320,12,19600,3000,19600,3000,cuda,0.0009998723163355701,0.0009998670552442566,242.23400950431824,/content/model_checkpoint.pt,val,0.5924133474826813,0.5817408316135406,0.05155887791141868,0.05877367940545082,6.753476705551147,0.0949831721484661,0.7377476782798768,nan,0.5351132389322917,250,3000,0,26.553027868270874,112.98146542394147
12,11,2026-05-06 16:17:14,320,12,19600,3000,19600,3000,cuda,0.0009998670552442566,0.0009998778161471008,242.3890450000763,/content/model_checkpoint.pt,train,0.5308488645799448,0.5206841353231282,0.048027471073240846,0.05921217060911228,4.1853470732999405,0.09506472373196588,0.7071826372984136,1.3826494323616367,0.5361123963647959,1634,19600,0,215.73573899269104,90.85189172418035
12,11,2026-05-06 16:17:14,320,12,19600,3000,19600,3000,cuda,0.0009998670552442566,0.0009998778161471008,242.3890450000763,/content/model_checkpoint.pt,val,0.529636800467968,0.5202537831664086,0.04341752179712057,0.05740778891742229,5.000624150753021,0.08408095556870103,0.7072588121891021,nan,0.5351132389322917,250,3000,0,26.651419639587402,112.5643601943016
13,12,2026-05-06 16:21:16,320,12,19600,3000,19600,3000,cuda,0.0009998778161471008,0.0009998825049969617,241.98392415046692,/content/model_checkpoint.pt,train,0.5143336895192122,0.5043877935723254,0.04660886931181811,0.05909129692642805,4.130215945340137,0.09233909336886525,0.6967116006475621,1.3126033748086254,0.5361123963647959,1634,19600,0,215.37852263450623,91.00257425974118
13,12,2026-05-06 16:21:16,320,12,19600,3000,19600,3000,cuda,0.0009998778161471008,0.0009998825049969617,241.98392415046692,/content/model_checkpoint.pt,val,0.5131557792425155,0.5032530356049537,0.047392675973474976,0.05587684863433242,3.7418692369461057,0.09326830245554447,0.6935548529624939,nan,0.5351132389322917,250,3000,0,26.60353708267212,112.76695992255904
14,13,2026-05-06 16:25:19,320,12,19600,3000,19600,3000,cuda,0.0009998825049969617,0.000999884375459712,242.28795266151428,/content/model_checkpoint.pt,train,0.4952372240228635,0.48548753370817027,0.0453718594939994,0.058878207364663336,4.044193589337161,0.09066018431402989,0.6841355465726432,1.2375791678649706,0.5361123963647959,1634,19600,0,215.61521077156067,90.90267764441603
14,13,2026-05-06 16:25:19,320,12,19600,3000,19600,3000,cuda,0.0009998825049969617,0.000999884375459712,242.28795266151428,/content/model_checkpoint.pt,val,0.5043676933050155,0.4943162779211998,0.048480999179184435,0.05558531078696251,3.482103853225708,0.0968869806304574,0.6880119622945785,nan,0.5351132389322917,250,3000,0,26.671098709106445,112.4813054280248
15,14,2026-05-06 16:29:22,320,12,19600,3000,19600,3000,cuda,0.000999884375459712,0.0009998888897942775,242.64955472946167,/content/model_checkpoint.pt,train,0.48477908066101144,0.47514458115564856,0.044665362667109965,0.05869390072661248,4.0020922697451295,0.08911580888034645,0.6761891499727125,1.2000972113618797,0.5361123963647959,1634,19600,0,215.9661762714386,90.75495217994508
15,14,2026-05-06 16:29:22,320,12,19600,3000,19600,3000,cuda,0.000999884375459712,0.0009998888897942775,242.64955472946167,/content/model_checkpoint.pt,val,0.47735298442840574,0.4682229576706886,0.04196886502951384,0.05669390637055039,4.00445512342453,0.08559271072223783,0.67444668674469,nan,0.5351132389322917,250,3000,0,26.681901216506958,112.43576593949862
16,15,2026-05-06 16:33:25,320,12,19600,3000,19600,3000,cuda,0.0009998888897942775,0.000999887457564474,242.79035782814026,/content/model_checkpoint.pt,train,0.46626650179067175,0.4568531529264322,0.043245718145293884,0.058529815624035995,3.9169329937406094,0.08717471534999559,0.6641076817980887,1.1247833146915442,0.5361123963647959,1634,19600,0,216.12032628059387,90.69022029215743
16,15,2026-05-06 16:33:25,320,12,19600,3000,19600,3000,cuda,0.0009998888897942775,0.000999887457564474,242.79035782814026,/content/model_checkpoint.pt,val,0.4920919658541679,0.48177045345306396,0.05035714581236243,0.05535880059376359,3.3240139393806456,0.10219201360270382,0.6787797993421555,nan,0.5351132389322917,250,3000,0,26.668453454971313,112.4924624918872
17,16,2026-05-06 16:37:28,320,12,19600,3000,19600,3000,cuda,0.000999887457564474,0.0009998898157545474,242.2861397266388,/content/model_checkpoint.pt,train,0.4565676301170592,0.44729189033023875,0.04240059531595891,0.05831301169734416,3.985195223894084,0.08542952243286564,0.6572814872864556,1.0893116019839464,0.5361123963647959,1634,19600,0,215.6637828350067,90.88220443112117
17,16,2026-05-06 16:37:28,320,12,19600,3000,19600,3000,cuda,0.000999887457564474,0.0009998898157545474,242.2861397266388,/content/model_checkpoint.pt,val,0.4921269120573997,0.482590080499649,0.0451340669579804,0.05533445692807436,3.287548113822937,0.08499919912219048,0.6716303807497025,nan,0.5351132389322917,250,3000,0,26.620482683181763,112.69517670674448
18,17,2026-05-06 16:41:30,320,12,19600,3000,19600,3000,cuda,0.0009998898157545474,0.000999894764678769,242.0913860797882,/content/model_checkpoint.pt,train,0.4450254178306172,0.4358996391259909,0.04142701182562306,0.05823453317733762,3.8708867866231293,0.08410411311548335,0.6489639235899819,1.022730421087952,0.5361123963647959,1634,19600,0,215.4664306640625,90.96544616993589
18,17,2026-05-06 16:41:30,320,12,19600,3000,19600,3000,cuda,0.0009998898157545474,0.000999894764678769,242.0913860797882,/content/model_checkpoint.pt,val,0.45394820511341094,0.4451680135130882,0.03975895653292537,0.056326961681246755,4.340157574653626,0.08120324745029212,0.6563734196424484,nan,0.5351132389322917,250,3000,0,26.623040914535522,112.68434772836464
19,18,2026-05-06 16:45:33,320,12,19600,3000,19600,3000,cuda,0.000999894764678769,0.0009998952758992076,242.33540391921997,/content/model_checkpoint.pt,train,0.43400632768796443,0.42501641093152537,0.04052933803879208,0.05821031075360816,3.887530723137546,0.08273797180170747,0.6414221700650242,0.9768771358117042,0.5361123963647959,1634,19600,0,215.72406768798828,90.85680707795845
19,18,2026-05-06 16:45:33,320,12,19600,3000,19600,3000,cuda,0.000999894764678769,0.0009998952758992076,242.33540391921997,/content/model_checkpoint.pt,val,0.45288331365585327,0.44416055738925936,0.03984316505677998,0.05492561149224639,3.6902213730812075,0.08103803090378642,0.6547771310806274,nan,0.5351132389322917,250,3000,0,26.6095929145813,112.74129632986927
20,19,2026-05-06 16:49:37,320,12,19600,3000,19600,3000,cuda,0.0009998952758992076,0.00099989906508823,243.0932388305664,/content/model_checkpoint.pt,train,0.4231632556059515,0.4143299779317808,0.03953458095508579,0.0580618140698642,3.8095796259263737,0.08134005324700745,0.6336086090366873,0.9306170190781391,0.5361123963647959,1634,19600,0,215.51484727859497,90.9450102742257
20,19,2026-05-06 16:49:37,320,12,19600,3000,19600,3000,cuda,0.0009998952758992076,0.00099989906508823,243.0932388305664,/content/model_checkpoint.pt,val,0.4357414720058441,0.4266483666300774,0.042126410892233256,0.05548283758759499,3.508629532814026,0.08667581432685256,0.6428218191862106,nan,0.5351132389322917,250,3000,0,27.5767662525177,108.78722952971712
21,20,2026-05-06 16:53:39,320,12,19600,3000,19600,3000,cuda,0.00099989906508823,0.000999895483454101,242.4116153717041,/content/model_checkpoint.pt,train,0.41414191504550535,0.40539007819961015,0.039035212452896165,0.05793110747061296,3.8150944807173426,0.08060935043389003,0.6273735170885282,0.9089410585901875,0.5361123963647959,1634,19600,0,215.88476586341858,90.78917598289503
21,20,2026-05-06 16:53:39,320,12,19600,3000,19600,3000,cuda,0.00099989906508823,0.000999895483454101,242.4116153717041,/content/model_checkpoint.pt,val,0.4584295371770859,0.4496995496749878,0.03930607255920768,0.0566815332248807,5.168098388671875,0.07831929194182158,0.6541279281377792,nan,0.5351132389322917,250,3000,0,26.524845838546753,113.10150559443795
22,21,2026-05-06 16:57:42,320,12,19600,3000,19600,3000,cuda,0.000999895483454101,0.0009998942982780265,242.4342920780182,/content/model_checkpoint.pt,train,0.40561673943423,0.3970029361755787,0.03814392588631395,0.05784427933736888,3.764035649442614,0.07905336831510523,0.6204618188932155,0.844477356227988,0.5361123963647959,1634,19600,0,215.61749076843262,90.90171641525072
22,21,2026-05-06 16:57:42,320,12,19600,3000,19600,3000,cuda,0.000999895483454101,0.0009998942982780265,242.4342920780182,/content/model_checkpoint.pt,val,0.46060095524787903,0.4522342767119408,0.037297732450068,0.05544033696129918,4.969498880386353,0.0758477184921503,0.6578263798952103,nan,0.5351132389322917,250,3000,0,26.815386056900024,111.87606971737229
23,22,2026-05-06 17:01:45,320,12,19600,3000,19600,3000,cuda,0.0009998942982780265,0.0009999014513610023,242.3387098312378,/content/model_checkpoint.pt,train,0.39588010528169326,0.38736332122195455,0.03756217177868382,0.05764916532067639,3.7061294985517876,0.07791308934869863,0.6140346866160303,0.7858590330641302,0.5361123963647959,1634,19600,0,215.65113377571106,90.88753514454076
23,22,2026-05-06 17:01:45,320,12,19600,3000,19600,3000,cuda,0.0009998942982780265,0.0009999014513610023,242.3387098312378,/content/model_checkpoint.pt,val,0.4255658149123192,0.4173903500437737,0.03607508183643222,0.05528409506380558,3.9443114738464358,0.07425337273254991,0.6351774137020111,nan,0.5351132389322917,250,3000,0,26.685444116592407,112.42083837513005
24,23,2026-05-06 17:05:48,320,12,19600,3000,19600,3000,cuda,0.0009999014513610023,0.000999902135899927,242.42139720916748,/content/model_checkpoint.pt,train,0.39091716610998684,0.38245257499970886,0.03723411748186894,0.057589469679586835,3.674107455236967,0.07786566996889935,0.6097846386482257,0.7728540977529242,0.5361123963647959,1634,19600,0,215.7443242073059,90.84827641243815
24,23,2026-05-06 17:05:48,320,12,19600,3000,19600,3000,cuda,0.0009999014513610023,0.000999902135899927,242.42139720916748,/content/model_checkpoint.pt,val,0.42050455659627917,0.41253586441278456,0.03470802318304777,0.05524977827444673,3.90950279712677,0.0726096209436655,0.6329674606323242,nan,0.5351132389322917,250,3000,0,26.67555594444275,112.4625108563101
25,24,2026-05-06 17:09:51,320,12,19600,3000,19600,3000,cuda,0.000999902135899927,0.0009999017646845174,242.46217894554138,/content/model_checkpoint.pt,train,0.3815960934798312,0.37328157946011425,0.03629440887354661,0.05740705778511102,3.6775018797510257,0.07638787625544458,0.602744062133635,0.7101082430566539,0.5361123963647959,1634,19600,0,215.746027469635,90.84755918742738
25,24,2026-05-06 17:09:51,320,12,19600,3000,19600,3000,cuda,0.000999902135899927,0.0009999017646845174,242.46217894554138,/content/model_checkpoint.pt,val,0.42782313507795333,0.4197630426883697,0.035161912828683854,0.05571613823249936,4.767368404388428,0.07305366118997335,0.6341668413877487,nan,0.5351132389322917,250,3000,0,26.714625358581543,112.29803748815476
26,25,2026-05-06 17:13:54,320,12,19600,3000,19600,3000,cuda,0.0009999017646845174,0.0009999052868554339,242.36836981773376,/content/model_checkpoint.pt,train,0.3820403660653271,0.373724759427541,0.03633941379073674,0.05729387904434138,3.647962798066939,0.07620656855958383,0.6023603020420565,0.7185478195584535,0.5361123963647959,1634,19600,0,215.6292769908905,90.8967477585524
26,25,2026-05-06 17:13:54,320,12,19600,3000,19600,3000,cuda,0.0009999017646845174,0.0009999052868554339,242.36836981773376,/content/model_checkpoint.pt,val,0.4113278012871742,0.4029092866182327,0.037911346439272166,0.054636212158948184,3.506217031955719,0.07741403557360173,0.6226938531398774,nan,0.5351132389322917,250,3000,0,26.73746657371521,112.20210380549699
27,26,2026-05-06 17:17:56,320,12,19600,3000,19600,3000,cuda,0.0009999052868554339,0.0009999061520187503,242.37649965286255,/content/model_checkpoint.pt,train,0.3709736360987076,0.3628030164826164,0.0353678975079318,0.05730869281681362,3.6353458183631755,0.07479258516069269,0.594386535766221,0.671766284657152,0.5361123963647959,1634,19600,0,215.74405598640442,90.84838935833828
