epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr,epoch_elapsed_sec,checkpoint_path,phase,loss,abs_rel,rmse,si_rmse,valid_pixel_fraction,n_batches,n_samples,elapsed_sec,samples_per_sec
6,5,2026-05-24 22:52:25,128,8,3000,500,3000,500,cuda,0.001,50.69993710517883,/content/model_checkpoint.pt,val,1.473787820528424,7.104718919784304,0.19268609311372514,1.1490389742548504,0.5110517578125,63,500,6.944246530532837,72.00205202991758
7,6,2026-05-24 22:53:15,128,8,3000,500,3000,500,cuda,0.001,50.61476516723633,/content/model_checkpoint.pt,train,1.4035877486069996,6.10196134185791,0.17617763462165992,1.1078672819137574,0.539487060546875,375,3000,43.643622636795044,68.73856519579476
7,6,2026-05-24 22:53:15,128,8,3000,500,3000,500,cuda,0.001,50.61476516723633,/content/model_checkpoint.pt,val,1.4787936267398654,6.020794754936581,0.1958598799057423,1.1489098781631106,0.5110517578125,63,500,6.970726251602173,71.72853759464138
8,7,2026-05-24 22:54:06,128,8,3000,500,3000,500,cuda,0.001,50.70342564582825,/content/model_checkpoint.pt,train,1.3983552160263062,6.0333503192265825,0.17750850297013918,1.105836618900299,0.539487060546875,375,3000,43.76263356208801,68.55163311284193
8,7,2026-05-24 22:54:06,128,8,3000,500,3000,500,cuda,0.001,50.70342564582825,/content/model_checkpoint.pt,val,1.4603944435006095,6.670290080327836,0.19320355252259308,1.144835010407463,0.5110517578125,63,500,6.94025444984436,72.04346809088719
9,8,2026-05-24 22:54:56,128,8,3000,500,3000,500,cuda,0.001,50.37959408760071,/content/model_checkpoint.pt,train,1.4074559316635131,6.10183451016744,0.17659955512483916,1.1148576634724936,0.539487060546875,375,3000,43.48133683204651,68.99511879287363
9,8,2026-05-24 22:54:56,128,8,3000,500,3000,500,cuda,0.001,50.37959408760071,/content/model_checkpoint.pt,val,1.5098341353355893,5.073665660525125,0.19895994808110926,1.1466940461643158,0.5110517578125,63,500,6.8978166580200195,72.48670482110528
10,9,2026-05-24 22:55:47,128,8,3000,500,3000,500,cuda,0.001,50.474666357040405,/content/model_checkpoint.pt,train,1.383525594552358,6.006935680389405,0.17505829796691735,1.104785000483195,0.539487060546875,375,3000,43.551963090896606,68.88323251327955
10,9,2026-05-24 22:55:47,128,8,3000,500,3000,500,cuda,0.001,50.474666357040405,/content/model_checkpoint.pt,val,1.4479375547832913,6.975971021349468,0.1917572890718778,1.139969525829194,0.5110517578125,63,500,6.922286748886108,72.23046633837538
11,10,2026-05-24 22:56:37,128,8,3000,500,3000,500,cuda,0.001,50.55378198623657,/content/model_checkpoint.pt,train,1.3676634565989176,6.05818971602122,0.1746335339943568,1.0975771910349528,0.539487060546875,375,3000,43.5891387462616,68.82448440799473
11,10,2026-05-24 22:56:37,128,8,3000,500,3000,500,cuda,0.001,50.55378198623657,/content/model_checkpoint.pt,val,1.478271120124393,4.164189460731688,0.19809189888219986,1.1070901600141374,0.5110517578125,63,500,6.964165925979614,71.79610671462677
12,11,2026-05-24 22:57:28,128,8,3000,500,3000,500,cuda,0.001,50.48487377166748,/content/model_checkpoint.pt,train,1.298914110660553,5.966100004990896,0.17070756099124748,1.0691145785649618,0.539487060546875,375,3000,43.55764555931091,68.87424610485444
12,11,2026-05-24 22:57:28,128,8,3000,500,3000,500,cuda,0.001,50.48487377166748,/content/model_checkpoint.pt,val,1.3511499672655076,7.600547728084383,0.18077890078226724,1.0996236876835899,0.5110517578125,63,500,6.926703929901123,72.18440474142474
13,12,2026-05-24 22:58:19,128,8,3000,500,3000,500,cuda,0.001,50.620986223220825,/content/model_checkpoint.pt,train,1.2878505211671194,5.917386438369751,0.16780936135351657,1.0738387571970622,0.539487060546875,375,3000,43.647356271743774,68.73268523578658
13,12,2026-05-24 22:58:19,128,8,3000,500,3000,500,cuda,0.001,50.620986223220825,/content/model_checkpoint.pt,val,1.2799400247278667,6.939528891018459,0.17320868893275185,1.075754289589231,0.5110517578125,63,500,6.973189353942871,71.7032013073449
14,13,2026-05-24 22:59:09,128,8,3000,500,3000,500,cuda,0.001,50.484023094177246,/content/model_checkpoint.pt,train,1.2433050220807393,5.956337166468303,0.16091589425007502,1.0536769572893778,0.539487060546875,375,3000,43.545210123062134,68.89391488803861
14,13,2026-05-24 22:59:09,128,8,3000,500,3000,500,cuda,0.001,50.484023094177246,/content/model_checkpoint.pt,val,1.4553184452511014,8.003251164678543,0.1896113923322114,1.1375318756179205,0.5110517578125,63,500,6.938408613204956,72.06263393718497
15,14,2026-05-24 23:00:00,128,8,3000,500,3000,500,cuda,0.001,50.561967611312866,/content/model_checkpoint.pt,train,1.2532126030127206,5.87598777071635,0.16388518522183101,1.0532417109807333,0.539487060546875,375,3000,43.61120271682739,68.78966442359659
15,14,2026-05-24 23:00:00,128,8,3000,500,3000,500,cuda,0.001,50.561967611312866,/content/model_checkpoint.pt,val,1.2902794593856448,4.665356006887224,0.17791266015006435,1.0547944931756883,0.5110517578125,63,500,6.950336217880249,71.93896587530735
