Model,Best Val Loss,Best RMSE,Best SI-RMSE,Best Abs Rel
SmallUNet,0.9085093358206372,0.127693602726573,0.915307002408164,4.003420137223744
DepthModelWithCues,0.3007677744626998,0.0553679254818707,0.5363508151769638,3.287548113822937
