epoch,train_loss,val_loss,train_abs_rel,val_abs_rel,train_rmse,val_rmse,train_si_rmse,val_si_rmse
0,0.9852577492974851,0.8490109002192815,6.126499385091723,4.361643535137176,0.1364884558884541,0.11864976850834985,0.9172849206535184,0.8528293285767238
1,0.8767381331385399,0.8018600862026215,5.791984488282885,4.940013137261073,0.121752393857709,0.11217087712014714,0.8713034461773171,0.8339576293230057
2,0.8077558027892089,0.7774409412145614,5.682913790722282,3.897301040887833,0.1153469180997119,0.11544879082776606,0.8354107119720809,0.8111953265666961
3,0.7591996544341043,0.6973000303606193,5.678527181890546,6.045562087138494,0.11017479768716636,0.09925302076339722,0.8098347384710701,0.7766537492672603
4,0.7153016011933891,0.6675262576142947,5.580253348837093,6.763492944478989,0.10510621660075398,0.09305534371982019,0.787907752035832,0.7568352878093719
5,0.6762610838927177,0.7191665925184886,5.417789597608605,8.88936136984825,0.10119373250638648,0.09765869427720705,0.7662217865002399,0.7658596529165904
6,0.6441560814909789,0.6241080897847812,5.331501277502702,6.6104552557468415,0.09807333327041065,0.08755739428599675,0.7508515373419742,0.7341810643672944
7,0.6218265345844687,0.5921024331450462,5.339641995527306,3.6344871276219686,0.09552733320058608,0.09806709632401665,0.7377101287367392,0.7178560746908188
0,0.9604626161072936,0.8113381662766139,6.060802946735402,6.339213134845098,0.13233974496206763,0.10675680565461516,0.9057440702951685,0.8380505772829056
1,0.8545051547063857,0.7846789909203847,5.889286982563077,8.197805135647457,0.12217349631227173,0.10610989261170228,0.8594216643000135,0.8140675109227499
2,0.7653819953802289,0.7181602778236071,5.623815998562745,4.605959629456202,0.112950346616705,0.10455750411935151,0.8138786391761839,0.7898935654560725
3,0.7124892233905136,0.6673276179631551,5.6666768957948195,7.2364941782951355,0.10664663399275089,0.09166650484253963,0.7865582902881564,0.7589229903221131
4,0.6754603045008012,0.6932389305035274,5.4174544029819724,6.80046409479777,0.10213824381443615,0.09044331941132744,0.7675018946309479,0.7738595373630524
5,0.6381016271607,0.607779962003231,5.301128302873398,4.9799091427326205,0.09838263731079214,0.09062275552873811,0.7480803571489393,0.7338505619366964
6,0.6127028898727529,0.6031734704573949,5.208327999102826,4.09077158888181,0.09437698725515939,0.0927639294328789,0.7340537343219835,0.7272566805283228
7,0.5979841780099941,0.5987252350449562,5.205504813358492,7.043202699104945,0.09316383033610728,0.08397451969236136,0.7252265982603541,0.7185749418735504
8,0.5752861278002359,0.6078382697900137,5.151616760182137,7.778019685188929,0.09028609624731221,0.09245667379473646,0.7127314512887779,0.7205758275588353
9,0.5600616713020267,0.5414079313079516,5.0776174320128495,6.201050988674163,0.08822452828107516,0.07741002643605073,0.7034621810730622,0.6897243086099625
